1619827200000,57697.25000000,58458.07000000,57421.05000000,58178.67000000,10096.94040000,1619841599999,585793602.30172458,371445,4852.77965600,281592832.63662574,0
1619841600000,58177.59000000,58422.31000000,57585.55000000,57725.14000000,6729.89624800,1619855999999,390366755.59225144,247941,3182.52065300,184609514.77366650,0
1619856000000,57725.14000000,57930.00000000,57116.16000000,57816.90000000,7190.04672800,1619870399999,413826102.81447711,320520,3597.25803000,207036608.75303157,0
1619870400000,57816.91000000,58043.01000000,56956.14000000,57356.58000000,7376.61972700,1619884799999,424641886.28956222,379142,3575.75873200,205885687.32385160,0
1619884800000,57356.59000000,57998.97000000,57218.00000000,57770.31000000,6358.75689600,1619899199999,366181027.16018320,234184,3105.31244100,178855306.61401764,0
1619899200000,57770.32000000,57939.00000000,57243.65000000,57800.37000000,4848.09183700,1619913599999,279533580.68432225,189781,2261.18071400,130375021.91253042,0
1619913600000,57797.35000000,57911.02000000,56323.66000000,56450.19000000,7209.98658800,1619927999999,412370178.55631084,253484,3381.61896200,193414020.18377090,0
1619928000000,56450.19000000,57129.00000000,56171.31000000,56633.02000000,6137.57336800,1619942399999,347941063.11992197,247263,3062.15396100,173595926.49223727,0
1619942400000,56633.03000000,57090.00000000,56035.25000000,57090.00000000,7180.35999300,1619956799999,405738581.00299290,242017,3664.77664200,207105135.56725831,0
1619956800000,57090.00000000,57286.96000000,56231.55000000,56595.20000000,5974.87761200,1619971199999,339209620.23889465,220996,2965.28637000,168348740.17295165,0
1619971200000,56595.20000000,56968.56000000,56317.59000000,56836.40000000,5016.93196100,1619985599999,284437324.93727480,199681,2515.93021400,142645392.23121756,0
1619985600000,56836.39000000,57141.05000000,56212.00000000,56578.21000000,5293.14934100,1619999999999,300066462.58423167,208197,2583.12568700,146460417.79172221,0
1620000000000,56578.21000000,58289.99000000,56525.00000000,57925.80000000,9396.29102900,1620014399999,542693379.02613510,279773,4610.23164200,266235522.66924911,0
1620014400000,57925.79000000,58848.00000000,57696.70000000,58787.87000000,9346.97225500,1620028799999,543800680.54662525,329460,4986.29893800,290074814.28164689,0
1620028800000,58787.88000000,58981.44000000,58277.12000000,58657.63000000,9368.15432300,1620043199999,549203194.28153388,304558,4666.71308900,273539580.80967628,0
1620043200000,58657.64000000,58770.00000000,57260.00000000,57601.83000000,11235.73369200,1620057599999,651939272.21114628,418051,5275.10778100,306143285.90903904,0
1620057600000,57603.33000000,58170.00000000,57169.00000000,57564.87000000,8767.24339500,1620071999999,506079147.94931827,368455,4397.90150300,253895069.02012249,0
1620072000000,57564.86000000,57575.05000000,56435.00000000,57169.39000000,9535.53659200,1620086399999,543888868.61262199,401831,4599.80258000,262397901.46853088,0
1620086400000,57169.39000000,57200.00000000,54580.00000000,55452.17000000,16977.89823100,1620100799999,947232608.16986787,488126,7869.56880600,439395159.29738954,0
1620100800000,55452.16000000,56361.82000000,55122.00000000,55917.97000000,8518.87125400,1620115199999,476542730.12322795,249000,4284.06532100,239628879.64088518,0
1620115200000,55917.98000000,56637.89000000,55555.00000000,56143.42000000,10623.43390600,1620129599999,595991793.64621570,325747,5059.24306100,283809765.64976877,0
1620129600000,56143.43000000,56321.18000000,53526.00000000,53799.33000000,25558.30939400,1620143999999,1406777206.37342754,677402,12110.72140000,666804267.16731655,0
1620144000000,53802.54000000,54745.81000000,53201.01000000,54541.13000000,15002.09730000,1620158399999,810866430.74535444,454309,7490.97850300,404918943.68987686,0
1620158400000,54539.73000000,54824.00000000,53046.69000000,53200.01000000,8644.01581800,1620172799999,467991295.24288166,298045,4215.11115500,228237488.36951295,0
1620172800000,53205.05000000,55415.83000000,52900.00000000,54795.19000000,13128.37786600,1620187199999,717224034.88189091,367381,6334.55782100,346188146.33025625,0
1620187200000,54798.87000000,55285.71000000,53922.84000000,54858.35000000,10080.01401100,1620201599999,550312273.46262819,296409,4918.51871000,268516761.41908418,0
1620201600000,54858.35000000,55809.24000000,54679.13000000,55108.95000000,9957.73314100,1620215999999,550188146.83796788,327520,4932.63144100,272567853.13933429,0
1620216000000,55108.95000000,57712.06000000,55032.65000000,57636.74000000,19336.62196000,1620230399999,1091247178.63543420,543966,10003.84124500,564550971.93861163,0
1620230400000,57635.89000000,58069.82000000,57043.00000000,57136.04000000,14748.36754900,1620244799999,847800526.07035082,469674,7479.26091200,430003880.97569409,0
1620244800000,57136.04000000,57619.86000000,56576.04000000,57436.11000000,10012.80891200,1620259199999,571222136.26316444,373169,5060.66488700,288711897.97429622,0
1620259200000,57436.11000000,57570.00000000,56570.66000000,56797.09000000,9957.85137700,1620273599999,567332324.57681901,332375,4764.29597900,271460912.13631813,0
1620273600000,56797.09000000,57568.42000000,56331.66000000,56814.79000000,9411.58230500,1620287999999,535763969.24281500,348061,4731.19867200,269326163.13315784,0
1620288000000,56814.79000000,58360.00000000,56772.75000000,57988.00000000,12460.66657000,1620302399999,718258004.34570188,382199,6640.88569900,382870227.86191094,0
1620302400000,57988.00000000,58099.00000000,56763.00000000,57088.49000000,12092.18850300,1620316799999,693195512.37298476,421346,5798.05894500,332437450.82944625,0
